Semester,Industror,Course,Section,Title,Course Count,Course Mean,Instr Count,Instr Mean,Response Percentage,Year
Spring,"French, James",MO221,E1,The Dynamics of Leading Organizations,28,4.14,28,4.32,74%,2021
Fall,"Chung, Yoo Jin",MO221,E2,The Dynamics of Leading Organizations,31,4.16,31,4.71,86%,2021
Spring,"French, James",MO221,E2,The Dynamics of Leading Organizations,29,4.55,29,4.79,81%,2021
Fall,"French, James",MO221,F1,The Dynamics of Leading Organizations,32,4.31,32,4.5,89%,2021
Spring,"Nichols, Rebecca",MO221,F1,The Dynamics of Leading Organizations,31,3.61,30,4.17,91%,2021
Spring,"Anastasi, Tom",MO221,F2,The Dynamics of Leading Organizations,13,4.23,13,4.62,81%,2021
Fall,"Stolow, David",MO356,A1,Leadership and Management of Social Enterprises,17,4.88,17,4.94,94%,2021
Spring,"Gonsalves, Leroy",MO420,A1,People Analytics,12,4.75,12,4.83,92%,2021
Spring,"Chung, Yoo Jin",MO430,A1,Managing in a Global Environment,3,5,3,5,0%,2021
Fall,"Foulkes, Fred",MO441,A1,Human Resource Management,13,4.77,13,4.92,100%,2021
Spring,"Foulkes, Fred",MO441,A1,Human Resource Management,14,4.36,14,4.43,100%,2021
Fall,"Smith-Crowe, Kristin",MO448,A1,Negotiations,29,4.52,29,4.48,88%,2021
Fall,"Deacon Carr, Sandra",MO460,A1,The Leadership Challenge,11,5,11,5,73%,2021
Spring,"Deacon Carr, Sandra",MO460,A1,The Leadership Challenge,23,4.22,23,4.7,88%,2021
Fall,"Santos, Francisco",OM323,A1,Operations and Technology Management,41,2.95,40,3.05,84%,2021
Spring,"Kadets, Barry",OM323,A1,Operations and Technology Management,31,4.35,31,4.65,86%,2021
Fall,"Kadets, Barry",OM323,A2,Operations and Technology Management,44,4.07,44,4.27,81%,2021
Spring,"Dixon, J. Robb",OM323,A2,Operations and Technology Management,35,4.09,35,4,97%,2021
Fall,"Nardone, Anthony",OM323,A3,Operations and Technology Management,42,4,42,4.48,86%,2021
Spring,"Nardone, Anthony",OM323,A3,Operations and Technology Management,24,4.33,24,4.54,73%,2021
Fall,"Kadets, Barry",OM323,B1,Operations and Technology Management,40,3.93,40,4.28,82%,2021
Spring,"Kadets, Barry",OM323,B1,Operations and Technology Management,35,4.06,35,4.31,90%,2021
Fall,"Nardone, Anthony",OM323,B2,Operations and Technology Management,49,4.27,49,4.67,91%,2021
Spring,"Dixon, J. Robb",OM323,B2,Operations and Technology Management,26,4.31,26,4.35,87%,2021
Fall,"Zhao, Jinglong",OM323,B3,Operations and Technology Management,41,3.78,41,3.68,87%,2021
Spring,"Nardone, Anthony",OM323,B3,Operations and Technology Management,29,4.45,29,4.72,78%,2021
Fall,"Kadets, Barry",OM323,C1,Operations and Technology Management,33,4.3,33,4.48,69%,2021
Spring,"Santos, Francisco",OM323,C1,Operations and Technology Management,26,4.19,26,4.31,79%,2021
Fall,"Santos, Francisco",OM323,C2,Operations and Technology Management,45,3.93,45,3.98,83%,2021
Spring,"Santos, Francisco",OM323,C2,Operations and Technology Management,29,3.62,28,4,91%,2021
Fall,"Zhao, Jinglong",OM323,C3,Operations and Technology Management,40,4.05,41,4.37,83%,2021
Fall,"Nardone, Anthony",OM353,A1,Project Management,20,4.6,20,4.75,83%,2021
Fall,"Kim, Jay",OM440,A1,Operations Strategy,14,4.43,14,4.86,82%,2021
Spring,"Ren, Z. Justin",OM447,A1,Operations Management in Service Sector,7,4.43,7,4.86,78%,2021
Spring,"Akkas, Arzum",OM451,A1,Environmentally Sustainable Supply Chains,16,4.69,16,4.75,84%,2021
Spring,"Cohen, Alan",PL325,A1,Introduction to the Health Sector,27,4.63,28,4.82,75%,2021
Spring,"Cohen, Alan",PL330,A1,The U.S. Healthcare System in Transition,15,4.6,15,4.67,88%,2021
Fall,"Ericson, Keith",PL350,A1,The Psychology of Decision Making: Implications for Business and Public Policy,42,4.14,43,4.44,81%,2021
Fall,"Ericson, Keith",QM221,A1,Probabilistic and Statistical Decision-Making for Management,65,3.09,64,2.45,47%,2021
Spring,"Ericson, Keith",QM221,A1,Probabilistic & Statistical Decision Making for Management,70,3.56,70,3.36,44%,2021
Summer,"Kean, Mark",QM221,A1,Probabilistic and Statistical Decision-Making for Management,38,4.71,39,4.95,76%,2021
Fall,"Ericson, Keith",QM221,A2,Probabilistic and Statistical Decision-Making for Management,26,3.04,25,2.96,25%,2021
Spring,"Ericson, Keith",QM221,A2,Probabilistic & Statistical Decision Making for Management,68,3.87,67,3.63,42%,2021
Fall,"Kean, Mark",QM221,B1,Probabilistic and Statistical Decision-Making for Management,7,4.43,7,5,39%,2021
Spring,"Kean, Mark",QM221,B1,Probabilistic & Statistical Decision Making for Management,19,4.47,19,4.74,63%,2021
Summer,"Parker, Kenneth",QM221,B1,Probabilistic and Statistical Decision-Making for Management,17,4.53,17,4.65,63%,2021
Fall,"Kean, Mark",QM221,B2,Probabilistic and Statistical Decision-Making for Management,17,4.24,17,4.71,50%,2021
Spring,"Kean, Mark",QM221,B2,Probabilistic & Statistical Decision Making for Management,24,4.29,25,4.96,62%,2021
Fall,"Kean, Mark",QM221,B3,Probabilistic and Statistical Decision-Making for Management,27,4.07,27,4.81,73%,2021
Spring,"Parker, Kenneth",QM221,B3,Probabilistic & Statistical Decision Making for Management,22,4.18,22,4.27,69%,2021
Fall,"Kadets, Barry",QM221,B4,Probabilistic and Statistical Decision-Making for Management,17,3.12,17,3.24,53%,2021
Spring,"Kean, Mark",QM221,B4,Probabilistic & Statistical Decision Making for Management,30,4.3,31,4.94,70%,2021
Fall,"Kean, Mark",QM221,B5,Probabilistic and Statistical Decision-Making for Management,27,4.26,26,4.85,64%,2021
Spring,"Kean, Mark",QM221,B5,Probabilistic & Statistical Decision Making for Management,28,3.93,27,4.56,62%,2021
Fall,"Kean, Mark",QM221,B6,Probabilistic and Statistical Decision-Making for Management,22,4.23,21,5,59%,2021
Spring,"Kean, Mark",QM221,B6,Probabilistic & Statistical Decision Making for Management,24,3.88,24,4.5,52%,2021
Fall,"Kean, Mark",QM221,B7,Probabilistic and Statistical Decision-Making for Management,28,4.04,28,4.82,68%,2021
Spring,"Parker, Kenneth",QM221,B7,Probabilistic & Statistical Decision Making for Management,22,4.05,22,4.73,71%,2021
Spring,"Kean, Mark",QM221,B8,Probabilistic & Statistical Decision Making for Management,24,4.46,24,4.71,71%,2021
Spring,"Parker, Kenneth",QM221,B9,Probabilistic & Statistical Decision Making for Management,15,4.13,16,4.31,75%,2021
Fall,"Steinbuch, Pearl",QM222,A1,Modeling Business Decisions and Market Outcomes,42,3.74,42,3.6,88%,2021
Spring,"Parker, Kenneth",QM222,A1,Modeling Business Decisions & Market Outcomes,29,4.28,29,3.9,76%,2021
Summer,"Parker, Kenneth",QM222,A1,Modeling Business Decisions and Market Outcomes,16,4.25,16,4.38,59%,2021
Summer,"Munshi, Vidit",QM222,A2,Modeling Business Decisions and Market Outcomes,26,4.38,26,4.77,84%,2021
Fall,"Kahn, Shulamit",QM222,B1,Modeling Business Decisions and Market Outcomes,22,4.41,22,4.36,79%,2021
Spring,"Kahn, Shulamit",QM222,B1,Modeling Business Decisions & Market Outcomes,30,4.1,30,4.13,79%,2021
Fall,"Osher, Keith",QM222,C1,Modeling Business Decisions and Market Outcomes,16,3.75,16,3.75,53%,2021
Spring,"Steinbuch, Pearl",QM222,C1,Modeling Business Decisions & Market Outcomes,35,4.11,35,4.29,85%,2021
Fall,"Kahn, Shulamit",QM222,D1,Modeling Business Decisions and Market Outcomes,22,4.18,22,4.27,71%,2021
Spring,"Zagorsky, Jay",QM222,D1,Modeling Business Decisions & Market Outcomes,39,4.54,39,4.72,89%,2021
Fall,"Steinbuch, Pearl",QM222,E1,Modeling Business Decisions and Market Outcomes,12,3.92,12,3.83,27%,2021
Spring,"Steinbuch, Pearl",QM222,E1,Modeling Business Decisions & Market Outcomes,31,4.29,31,4.45,82%,2021
Fall,"Steinbuch, Pearl",QM222,F1,Modeling Business Decisions and Market Outcomes,34,4,34,4.06,72%,2021
Spring,"Steinbuch, Pearl",QM222,F1,Modeling Business Decisions & Market Outcomes,13,4.23,13,4.38,100%,2021
Spring,"Kahn, Shulamit",QM222,G1,Modeling Business Decisions & Market Outcomes,17,3.94,17,3.94,74%,2021
Fall,"Dominguez, Carlos",QM323,A1,Analytics,41,3.44,41,3.56,84%,2021
Spring,"Munshi, Vidit",QM323,A1,Analytics,33,4.48,33,4.61,92%,2021
Fall,"Munshi, Vidit",QM323,A2,Analytics,52,4.37,52,4.85,96%,2021
Spring,"Osher, Keith",QM323,A2,Analytics,36,3.97,36,3.58,100%,2021
Fall,"Pandey, Rakesh",QM323,A3,Analytics,45,4.13,45,4.44,92%,2021
Spring,"Pandey, Rakesh",QM323,A3,Analytics,29,4.41,29,4.45,88%,2021
Fall,"Dominguez, Carlos",QM323,B1,Analytics,42,3.45,42,3.33,86%,2021
Spring,"Munshi, Vidit",QM323,B1,Analytics,36,4.28,37,4.68,92%,2021
Fall,"Pandey, Rakesh",QM323,B2,Analytics,50,4.38,51,4.55,93%,2021
Spring,"Osher, Keith",QM323,B2,Analytics,27,3.7,27,3.7,90%,2021
Fall,"Munshi, Vidit",QM323,B3,Analytics,45,4.58,44,4.91,96%,2021
Spring,"Pandey, Rakesh",QM323,B3,Analytics,28,4.68,28,4.82,76%,2021
Fall,"Munshi, Vidit",QM323,C1,Analytics,41,4.8,41,4.98,85%,2021
Spring,"Munshi, Vidit",QM323,C1,Analytics,31,4.35,31,4.81,94%,2021
Fall,"Dominguez, Carlos",QM323,C2,Analytics,47,3.96,47,4.23,87%,2021
Spring,"Pandey, Rakesh",QM323,C2,Analytics,28,4.43,28,4.64,88%,2021
Fall,"Pandey, Rakesh",QM323,C3,Analytics,46,3.78,46,3.7,96%,2021
Fall,"Hannah, Doug",SI250,A1,Ideas to Impact,23,4.65,24,4.83,55%,2021
Spring,"Abouchalache, Patrick",SI250,A1,Ideas to Impact,29,4.76,29,4.83,71%,2021
Fall,"Hannah, Doug",SI250,B1,Ideas to Impact,30,4.9,30,4.97,81%,2021
Spring,"Mashiter, Ian",SI250,B1,Ideas to Impact,26,4.5,27,4.56,68%,2021
Summer,"Mashiter, Ian",SI250,B1,Ideas to Impact,25,4.52,25,4.56,83%,2021
Fall,"Hannah, Doug",SI250,C1,Ideas to Impact,30,4.8,30,4.87,73%,2021
Fall,"Abouchalache, Patrick",SI340,A1,Family Business Management,25,4.92,25,4.92,96%,2021
Fall,"Marton, Peter",SI344,A1,Entrepreneurship: Solving Problems in a Dynamic World,25,4.64,25,4.92,76%,2021
Fall,"Furman, Jeffrey",SI422,A1,"Strategy, Innovation, and Global Competition",33,4.91,34,4.94,80%,2021
Spring,"Kirks, John",SI422,A1,"Strategy, Innovation, and Global Competition",32,4.66,32,4.81,76%,2021
Summer,"Cosway, Paul",SI422,A1,"Strategy, Innovation, and Global Competition",14,4.43,14,4.43,67%,2021
Summer,"Cosway, Paul",SI422,A2,"Strategy, Innovation, and Global Competition",11,4.27,11,4.18,55%,2021
Fall,"Murciano-Goroff, Raviv",SI422,B1,"Strategy, Innovation, and Global Competition",13,4.85,13,4.77,87%,2021
Spring,"Cosway, Paul",SI422,B1,"Strategy, Innovation, and Global Competition",23,4.48,22,4.86,50%,2021
Fall,"Murciano-Goroff, Raviv",SI422,C1,"Strategy, Innovation, and Global Competition",30,4.73,29,4.83,83%,2021
Spring,"Leibel, Esther",SI422,C1,"Strategy, Innovation, and Global Competition",24,4.42,24,4.67,73%,2021
Fall,"Cosway, Paul",SI422,D1,"Strategy, Innovation, and Global Competition",32,4.19,31,4.39,80%,2021
Spring,"Cosway, Paul",SI422,D1,"Strategy, Innovation, and Global Competition",23,4,24,4.71,52%,2021
Fall,"Kirks, John",SI422,E1,"Strategy, Innovation, and Global Competition",40,4.7,40,4.9,89%,2021
Spring,"Leibel, Esther",SI422,E1,"Strategy, Innovation, and Global Competition",25,4.52,25,4.8,71%,2021
Fall,"Cosway, Paul",SI422,F1,"Strategy, Innovation, and Global Competition",24,4.08,24,4.54,56%,2021
Spring,"Kirks, John",SI422,F1,"Strategy, Innovation, and Global Competition",34,4.85,35,4.86,76%,2021
Fall,"Murciano-Goroff, Raviv",SI422,G1,"Strategy, Innovation, and Global Competition",35,4.63,35,4.91,83%,2021
Spring,"Leibel, Esther",SI422,G1,"Strategy, Innovation, and Global Competition",25,4.56,24,4.83,83%,2021
Fall,"Cosway, Paul",SI422,H1,"Strategy, Innovation, and Global Competition",24,4.13,24,4.33,55%,2021
Spring,"Cosway, Paul",SI422,H1,"Strategy, Innovation, and Global Competition",19,4.53,19,4.84,53%,2021
Spring,"Stuebi, Richard",SI430,A1,Multidisciplinary Sustainable Energy Practicum,10,4.3,10,4.5,100%,2021
Fall,"Kirks, John",SI432,A1,Corporate Strategy: Formulation and Implementation,16,4.94,16,4.94,89%,2021
Spring,"Kirks, John",SI432,A1,Corporate Strategy: Formulation and Implementation,19,4.79,19,4.79,63%,2021
Spring,"Marton, Peter",SI444,A1,Entrepreneurship: Solving Problems in a Dynamic World,21,4.33,20,4.6,81%,2021
Spring,"Stoller, Gregory",SI445,A1,Managing a Growing Enterprise,17,4.65,17,4.82,68%,2021
Fall,"Hambrick, Patricia",SI451,A1,Organizing for Design and Innovation,15,4.73,16,4.63,83%,2021
Spring,"Karp, Rebecca",SI451,A1,Organizing for Design and Innovation,5,3.8,5,4,19%,2021
Spring,"Tinger, Mariah",SI453,A1,Strategies for Environmental Sustainability,25,4.4,25,4.6,89%,2021
Fall,"Fazio, Catherine",SI464,A1,Intellectual Property Strategies,18,5,18,5,82%,2021
Spring,"Munsell, Keith",SI469,A1,Real Estate Development,10,3.8,10,3.9,40%,2021
Spring,"Stoller, Gregory",SI471,A1,International Entrepreneurship,11,5,10,5,85%,2021
Spring,"Stoller, Gregory",SI475,A1,Global Management Experience,19,4.63,19,4.79,95%,2021
Fall,"Sarid, Abhijit",SI480,A1,The Business of Technology Innovation,22,4.45,23,4.61,61%,2021
Spring,"Sarid, Abhijit",SI480,A1,The Business of Technology Innovation,20,4.15,19,4.37,59%,2021
Fall,"Yadav, Priya",SI480,B1,The Business of Technology Innovation,29,4.62,29,4.83,94%,2021
Spring,"Levine, Paul",SI480,B1,The Business of Technology Innovation,24,4.75,24,4.92,67%,2021
Fall,"Sarid, Abhijit",SI480,C1,The Business of Technology Innovation,15,4.4,16,4.63,50%,2021
Spring,"Yadav, Priya",SI480,C1,The Business of Technology Innovation,28,4.39,28,4.5,88%,2021
Fall,"Marton, Peter",SI482,A1,Strategy for Technology-Based Firms,13,5,13,5,41%,2021
Spring,"Horwitz, Barry",SI482,A1,Strategy for Technology-Based Firms,30,4.27,30,4.43,73%,2021
Fall,"Horwitz, Barry",SI482,B1,Strategy for Technology-Based Firms,22,3.82,23,4.04,85%,2021
Spring,"Marton, Peter",SI482,B1,Strategy for Technology-Based Firms,28,4.79,28,4.96,53%,2021
Summer,"Reis, Matthew",SM101,OL,Introduction to Business (for non-majors),1,4,1,4,9%,2021
Summer,"Nichols, Rebecca",SM131,A1,"Business, Ethics, and the Creation of Value",32,4.31,32,4.53,97%,2021
Summer,"Nichols, Rebecca",SM131,A2,"Business, Ethics, and the Creation of Value",26,4.08,27,4.3,90%,2021
Summer,"Anastasi, Tom",SM131,B1,"Business, Ethics, and the Creation of Value",35,4.29,35,4.34,92%,2021
Fall,"Nichols, Rebecca",SM131,E2,"Business, Ethics, and the Creation of Value",28,4.36,28,4.54,97%,2021
Fall,"Hernandez, Christian",SM131,E3,"Business, Ethics, and the Creation of Value",15,3.27,15,3.4,44%,2021
Fall,"Reis, Matthew",SM131,E4,"Business, Ethics, and the Creation of Value",26,4.19,26,4.42,84%,2021
Fall,"Nichols, Rebecca",SM131,FA,"Business, Ethics, and the Creation of Value",32,4.09,32,4.63,89%,2021
Fall,"Stolow, David",SM131,FB,"Business, Ethics, and the Creation of Value",22,4.41,23,4.7,65%,2021
Fall,"Moore, Erin",SM131,FC,"Business, Ethics, and the Creation of Value",29,3.45,29,3.52,76%,2021
Fall,"Cosway, Paul",SM131,FD,"Business, Ethics, and the Creation of Value",31,3.94,30,4.43,84%,2021
Fall,"Howell, Matthew",SM131,FE,"Business, Ethics, and the Creation of Value",28,4.14,28,5,76%,2021
Fall,"Steinert, Lucy",SM131,FF,"Business, Ethics, and the Creation of Value",7,4.14,7,4.29,18%,2021
Fall,"Nichols, Rebecca",SM131,FG,"Business, Ethics, and the Creation of Value",30,4.13,30,4.67,75%,2021
Fall,"Stuebi, Richard",SM131,FH,"Business, Ethics, and the Creation of Value",30,4.13,29,4.66,88%,2021
Fall,"Anastasi, Tom",SM131,FI,"Business, Ethics, and the Creation of Value",33,4.3,33,4.36,83%,2021
Fall,"Stolow, David",SM131,FJ,"Business, Ethics, and the Creation of Value",29,4.55,29,4.79,83%,2021
Fall,"Hernandez, Christian",SM131,FK,"Business, Ethics, and the Creation of Value",11,4,11,4.27,31%,2021
Fall,"Donlan, Kim",SM131,FL,"Business, Ethics, and the Creation of Value",33,3.91,32,4.63,89%,2021
Fall,"Brunel, Frederic",SM131,FM,"Business, Ethics, and the Creation of Value",36,4.42,36,4.83,95%,2021
Fall,"McGinnis, Phyllis",SM131,G1,"Business, Ethics, and the Creation of Value",26,3.88,27,4.44,67%,2021
Fall,"Nichols, Rebecca",SM131,G2,"Business, Ethics, and the Creation of Value",29,4.34,29,4.62,74%,2021
Spring,"Reis, Matthew",SM131,G2,"Business, Ethics, and the Creation of Value",26,4.35,26,4.35,65%,2021
Fall,"Howell, Matthew",SM131,G3,"Business, Ethics, and the Creation of Value",34,4.06,34,4.91,81%,2021
Fall,"Reis, Matthew",SM131,G4,"Business, Ethics, and the Creation of Value",28,4.04,28,4.46,67%,2021
Spring,"McGinnis, Phyllis",SM131,G4,"Business, Ethics, and the Creation of Value",22,4.14,20,4.75,54%,2021
Fall,"Anastasi, Tom",SM131,G5,"Business, Ethics, and the Creation of Value",28,4.14,28,4.39,74%,2021
Fall,"Simonds, Sara",SM131,G6,"Business, Ethics, and the Creation of Value",33,3.88,33,4.45,83%,2021
Fall,"Donlan, Kim",SM131,G7,"Business, Ethics, and the Creation of Value",31,3.84,31,4.19,78%,2021
Spring,"Nichols, Rebecca",SM131,H2,"Business, Ethics, and the Creation of Value",28,4.29,28,4.57,72%,2021
Spring,"McGinnis, Phyllis",SM131,H3,"Business, Ethics, and the Creation of Value",25,4.08,25,4.36,61%,2021
Spring,"Nichols, Rebecca",SM131,I2,"Business, Ethics, and the Creation of Value",36,4.08,38,4.58,86%,2021
Spring,"Reis, Matthew",SM131,I3,"Business, Ethics, and the Creation of Value",17,4.18,17,4.65,41%,2021
Spring,"Fazendeiro, Fatema",SM131,J2,"Business, Ethics, and the Creation of Value",31,4.42,31,4.81,74%,2021
Spring,"Anastasi, Tom",SM131,K2,"Business, Ethics, and the Creation of Value",26,4.38,26,4.65,68%,2021
Spring,"Anastasi, Tom",SM131,L2,"Business, Ethics, and the Creation of Value",26,4.12,26,4.27,70%,2021
Summer,"Fox, John F.",SM132,A1,Measuring Financial Value,23,4.65,22,4.82,66%,2021
Summer,"Newell, Cornelia",SM132,A2,Measuring Financial Value,22,4.32,21,4.67,65%,2021
Fall,"Bedard, David",SM132,A3,Measuring Financial Value,20,4.75,20,4.85,59%,2021
Summer,"Newell, Cornelia",SM132,A3,Measuring Financial Value,24,4.17,24,4.79,75%,2021
Summer,"Newell, Cornelia",SM132,B1,Measuring Financial Value,25,4.56,24,4.83,60%,2021
Fall,"Bedard, David",SM132,B2,Measuring Financial Value,21,4.57,21,5,55%,2021
Fall,"Bedard, David",SM132,B3,Measuring Financial Value,19,4.63,19,4.95,49%,2021
Fall,"Osher, Keith",SM132,B4,Measuring Financial Value,18,3.72,18,4,47%,2021
Spring,"Bedard, David",SM132,BC,Measuring Financial Value,29,4.55,29,4.93,83%,2021
Spring,"Bedard, David",SM132,BD,Measuring Financial Value,28,4.64,27,4.96,74%,2021
Spring,"Fox, John F.",SM132,BE,Measuring Financial Value,24,4.25,24,4.29,83%,2021
Spring,"Chadwick, Theodore",SM132,BF,Measuring Financial Value,29,4.07,29,4.34,78%,2021
Spring,"Fox, John F.",SM132,BG,Measuring Financial Value,23,4.3,23,4.7,85%,2021
Spring,"Newell, Cornelia",SM132,BH,Measuring Financial Value,19,4.26,19,4.74,58%,2021
Spring,"DeVoy, John",SM132,BK,Measuring Financial Value,32,4.56,32,4.94,86%,2021
Spring,"Bedard, David",SM132,BL,Measuring Financial Value,21,4.57,21,5,81%,2021
Spring,"DeVoy, John",SM132,BN,Measuring Financial Value,19,4.74,19,4.95,76%,2021
Fall,"Bedard, David",SM132,C2,Measuring Financial Value,31,4.61,31,4.9,72%,2021
Fall,"Bedard, David",SM132,C3,Measuring Financial Value,31,4.58,31,4.81,76%,2021
Fall,"Fox, John F.",SM132,C4,Measuring Financial Value,25,4.28,25,4.44,81%,2021
Fall,"Fox, John F.",SM132,C5,Measuring Financial Value,31,4.1,32,4.47,78%,2021
Fall,"Osher, Keith",SM132,D2,Measuring Financial Value,25,4.04,24,4.25,61%,2021
Fall,"DeVoy, John",SM132,D3,Measuring Financial Value,21,4.1,20,4.8,51%,2021
Fall,"Newell, Cornelia",SM132,E2,Measuring Financial Value,25,3.92,25,4.56,64%,2021
Fall,"DeVoy, John",SM132,E3,Measuring Financial Value,18,4.78,19,5,78%,2021
Spring,"Chadwick, Theodore",SM132,G1,Measuring Financial Value,17,4.29,17,4.41,47%,2021
Spring,"Osher, Keith",SM132,G2,Measuring Financial Value,17,4,17,4.41,47%,2021
Spring,"Osher, Keith",SM132,G3,Measuring Financial Value,23,4.04,23,4.57,66%,2021
Spring,"Chadwick, Theodore",SM132,G4,Measuring Financial Value,22,4.14,22,4.5,56%,2021
Spring,"Osher, Keith",SM132,H1,Measuring Financial Value,17,3.59,17,4.24,68%,2021
Spring,"Osher, Keith",SM132,H2,Measuring Financial Value,15,3.47,15,4.27,63%,2021
Spring,"Nichols, Rebecca",SM132,H3,Measuring Financial Value,25,4.36,25,4.8,74%,2021
Spring,"Stolow, David",SM132,I1,Measuring Financial Value,26,4.46,26,4.77,68%,2021
Spring,"Bedard, David",SM132,I2,Measuring Financial Value,31,4.48,31,4.9,76%,2021
Spring,"Newell, Cornelia",SM132,J1,Measuring Financial Value,26,4.31,26,4.92,63%,2021
Fall,"Marino, David",SM275,A1,Management Communications,16,4.31,16,4.44,89%,2021
Spring,"Hargraves, Ann",SM275,A1,Management Communications,15,4.33,15,4.27,94%,2021
Summer,"McGinnis, John",SM275,A1,Management Communications,21,4.38,21,4.57,84%,2021
Summer,"Butterfield, Matthew",SM275,A2,Management Communications,14,4.29,14,4.71,78%,2021
Fall,"Marino, David",SM275,B1,Management Communications,17,4.29,17,4.71,85%,2021
Spring,"Hargraves, Ann",SM275,B1,Management Communications,16,3.94,16,4.25,89%,2021
Summer,"McGinnis, John",SM275,B1,Management Communications,21,4.52,21,4.57,91%,2021
Fall,"Butterfield, Matthew",SM275,C1,Management Communications,18,4.56,18,4.78,82%,2021
Spring,"Hargraves, Ann",SM275,C1,Management Communications,15,4.07,15,4.27,88%,2021
Fall,"Butterfield, Matthew",SM275,D1,Management Communications,18,4.22,18,4.67,86%,2021
Spring,"Butterfield, Matthew",SM275,D1,Management Communications,20,4.3,20,4.6,83%,2021
Fall,"Butterfield, Matthew",SM275,E1,Management Communications,18,4.17,18,4.56,90%,2021
Spring,"Butterfield, Matthew",SM275,E1,Management Communications,13,3.54,14,4.5,81%,2021
Fall,"McGinnis, John",SM275,F1,Management Communications,21,3.81,21,4.62,91%,2021
Spring,"McGinnis, John",SM275,F1,Management Communications,21,4.14,21,4.52,84%,2021
Fall,"Marino, David",SM275,G1,Management Communications,9,4.33,9,4.67,39%,2021
Spring,"McGinnis, John",SM275,G1,Management Communications,20,4.4,18,4.67,83%,2021
Fall,"McGinnis, John",SM275,H1,Management Communications,17,4.41,17,4.71,85%,2021
Spring,"McGinnis, John",SM275,H1,Management Communications,20,4.5,20,4.85,91%,2021
Fall,"Geyer, Frederick",SM275,I1,Management Communications,15,3.6,15,4,75%,2021
Spring,"Meier, Carol",SM275,I1,Management Communications,15,4.13,15,4.4,79%,2021
Fall,"McGinnis, John",SM275,J1,Management Communications,18,4.61,18,4.94,82%,2021
Spring,"Meier, Carol",SM275,J1,Management Communications,16,4.31,16,4.81,76%,2021
Fall,"Butterfield, Matthew",SM275,K1,Management Communications,19,4.32,19,4.79,83%,2021
Spring,"Ehrenreich, Michelle",SM275,K1,Management Communications,22,4.59,22,4.68,92%,2021
Fall,"Meier, Carol",SM275,L1,Management Communications,17,3.94,16,4.5,81%,2021
Spring,"Ehrenreich, Michelle",SM275,L1,Management Communications,21,4.1,21,4.62,84%,2021
Fall,"Ehrenreich, Michelle",SM275,M1,Management Communications,23,4.74,22,4.86,100%,2021
Spring,"Butterfield, Matthew",SM275,M1,Management Communications,18,3.94,18,4.56,86%,2021
Fall,"Mandolese, Jennifer",SM275,N1,Management Communications,20,4.35,21,4.95,87%,2021
Spring,"Veidenheimer, Lorri",SM275,N1,Management Communications,17,4,18,4,94%,2021
Fall,"Ehrenreich, Michelle",SM275,O1,Management Communications,20,4.55,20,4.75,83%,2021
Spring,"Butterfield, Matthew",SM275,O1,Management Communications,17,3.94,17,4.59,85%,2021
Fall,"Bozigian, Courtney",SM275,P1,Management Communications,15,3.93,15,4.13,83%,2021
Spring,"Feldman, Pnina",SM450,A1,Management Honors Seminar: International Field Seminar,15,3.8,15,3.93,58%,2021
Spring,"Furman, Jeffrey",SM454,A1,Management Honors Seminar,12,4.58,12,4.83,80%,2021
Fall,"Salinger, Michael",SM455,A1,Management Honors Seminar,10,4.2,10,4.4,100%,2021
Spring,"Hambrick, Patricia",SM456,A1,Management Honors Seminar,12,3.83,11,4.09,100%,2021
Fall,"Packard, Matthew",AC221,A1,Financial Accounting,26,4.65,27,4.81,63%,2022
Spring,"Schino, Rosalba",AC221,A1,Financial Accounting,23,4.7,23,4.74,66%,2022
Summer,"Li, Lynn",AC221,A1,Financial Accounting,5,4.6,5,4.6,38%,2022
Summer,"Li, Lynn",AC221,A2,Financial Accounting,23,4.52,23,4.65,82%,2022
Fall,"Packard, Matthew",AC221,B1,Financial Accounting,39,4.46,39,4.79,71%,2022
Spring,"Schino, Rosalba",AC221,B1,Financial Accounting,20,4.4,20,4.65,53%,2022
Summer,"Hagigi, Moshe",AC221,B1,Financial Accounting,27,4.3,27,4.11,96%,2022
Fall,"Lisowsky, Petro",AC221,C1,Financial Accounting,22,4.59,21,4.9,63%,2022
Spring,"Schino, Rosalba",AC221,C1,Financial Accounting,24,4.67,23,4.83,62%,2022
Fall,"Schino, Rosalba",AC221,D1,Financial Accounting,28,4.57,27,4.67,58%,2022
Spring,"Packard, Matthew",AC221,D1,Financial Accounting,26,4.58,26,4.85,54%,2022
Fall,"Lisowsky, Petro",AC221,E1,Financial Accounting,24,4.42,24,4.83,71%,2022
Spring,"Packard, Matthew",AC221,E1,Financial Accounting,25,4.6,25,4.84,51%,2022
Fall,"Li, Lynn",AC221,F1,Financial Accounting,24,4.5,23,4.48,65%,2022
Spring,"Lisowsky, Petro",AC221,F1,Financial Accounting,40,4.4,40,4.88,73%,2022
Fall,"Schino, Rosalba",AC221,G1,Financial Accounting,34,4.68,34,4.76,77%,2022
Spring,"Wilson, Raymond",AC221,G1,Financial Accounting,27,4.78,27,4.93,52%,2022
Fall,"Chan, Jesse",AC221,H1,Financial Accounting,42,4.14,42,4.36,88%,2022
Spring,"Lisowsky, Petro",AC221,H1,Financial Accounting,44,4.77,44,4.98,81%,2022
